Id,Category,Brand,Item,image,product_page
B07PFLSQVH,cereal,Chex,"Blueberry Chex Family Size Cereal, 20.3 Ounce",https://images-na.ssl-images-amazon.com/images/I/91sUVNWtMJL._SX522_.jpg,https://www.amazon.com/Blueberry-Chex-Family-Cereal-Ounce/dp/B07PFLSQVH
568929369,cereal,Chex,"Chocolate Chex Cereal, Gluten Free, 21.1 oz",https://i5.walmartimages.com/asr/03b1555a-4696-444a-868a-0839ed8284bf_1.c5af7a84f0a8b24977dc11c0c3836f11.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,https://www.walmart.com/ip/Chocolate-Chex-Cereal-Gluten-Free-21-1-oz/392857672
568929363,cereal,Chex,"Cinnamon Chex Cereal, Gluten Free, 19.6 oz",https://i5.walmartimages.com/asr/6a80105c-6837-4ad5-a436-347eedaa54e8_1.29388fbdd199876ecdf1f7df5b442867.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,https://www.walmart.com/ip/Cinnamon-Chex-Cereal-Gluten-Free-19-6-oz/918216269
568930694,cereal,Chex,"Honey Nut Chex Cereal, Gluten Free, 20.3 oz",https://i5.walmartimages.com/asr/cd7a8c52-59b4-44df-80f5-8718da6a2fc2_1.1a53fc89901477bcd78df829207ab537.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,https://www.walmart.com/ip/Honey-Nut-Chex-Cereal-Gluten-Free-20-3-oz/995262889
556629973,cereal,Great Value,"Great Value Wheat Squares Cereal, 14 oz",https://i5.walmartimages.com/asr/26bb2b21-635e-42b8-94a9-3fe6ca019c54_3.21953f5115ceead7c2cbc321bbd311f9.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,https://www.walmart.com/ip/Great-Value-Wheat-Squares-Cereal-14-oz/108394030
566823238,cereal,Chex,"Wheat Chex Cereal, with Whole Grain, 14 oz",https://i5.walmartimages.com/asr/ee217e1d-4cfc-4465-9854-b549e8f44eea_1.d3896bc3c176e38c685ed618a452e5a9.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,https://www.walmart.com/ip/Wheat-Chex-Cereal-with-Whole-Grain-14-oz/10311420
574584402,cereal,Kellogg's,Kellogg's Crispix Breakfast Cereal Original Family Size 18 Oz,https://i5.walmartimages.com/asr/feac5991-6e4a-4472-95a7-bebf0380ce7d_1.64bca7ea7e7d9f17d5441927ff566fa7.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,https://www.walmart.com/ip/Kellogg-s-Crispix-Breakfast-Cereal-Original-Family-Size-18-Oz/46771746
574584401,cereal,Kellogg's,Kellogg's Cracklin Oat Bran Breakfast Cereal Original 16.5 Oz,https://i5.walmartimages.com/asr/6d96926f-8475-4391-ba7a-2e00989f0bd4_1.1787d855821878ae93eacaa2f971763a.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,https://www.walmart.com/ip/Kellogg-s-Cracklin-Oat-Bran-Breakfast-Cereal-Original-16-5-Oz/424860421
567241289,cereal,Wheaties,"Wheaties, Cereal, with Whole Grain Flakes, 15.6 oz",https://i5.walmartimages.com/asr/cdb27424-f4ac-4ce6-8cbe-cf4d9d020b6d_1.115fb0938dc933a24f5019a00323ac65.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,https://www.walmart.com/ip/Wheaties-Cereal-with-Whole-Grain-Flakes-15-6-oz/10311273
127056,cereal,Kellogg's,Kellogg's Raisin BranÂ® cereal,https://images.kglobalservices.com/www.kelloggs.com/en_us/product/product_4508651/kicproductimage-127056_rb.jpg,https://www.kelloggs.com/en_US/products/kellogg-s-raisin-bran-cereal-product.html
552407430,cereal,Chex,"Rice Chex Cereal, Gluten Free, 18 oz",https://i5.walmartimages.com/asr/f13c98dd-8494-4648-bed2-3f78e68c320b_1.dc5112a0112ba1ade4f1a7ac67734662.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,https://www.walmart.com/ip/Rice-Chex-Cereal-Gluten-Free-18-oz/36915386
556629971,cereal,Great Value,"Great Value Rice Squares Cereal, 12 oz",https://i5.walmartimages.com/asr/48b149bb-1632-496a-a075-215d2413a3dc_2.ece56b138875baf3326ae613f8ce8f8d.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,https://www.walmart.com/ip/Great-Value-Rice-Squares-Cereal-12-oz/174684175
946476410,cereal,Chex,Rice Chex Cereal,https://i5.walmartimages.com/asr/a03d4105-c44d-4df1-9859-19ee7c0e0b81_1.8c7bd8434642bf64136a70434953e997.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,https://www.walmart.com/ip/Rice-Chex-Cereal/946476410
568929357,cereal,Cheerios,"Cheerios Cinnamon Oat Crunch Cereal, 26 oz",https://i5.walmartimages.com/asr/4092e274-4996-49f1-a755-67551a99d9a9_1.67f5ede204d908191593fef457c78a07.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,https://www.walmart.com/ip/Cheerios-Cinnamon-Oat-Crunch-Cereal-26-oz/366828037
572533463,cereal,Cheerios,Gm Family Size Maple Cheerios 19.8oz,https://i5.walmartimages.com/asr/2d299173-81df-42a4-a5c0-7294635b080d_1.5551fdb9efcdd04c0836be30bba80cdf.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,https://www.walmart.com/ip/Gm-Family-Size-Maple-Cheerios-19-8oz/551018507
556967853,cereal,Great Value,"Great Value Toasted O's Cereal, 21 oz",https://i5.walmartimages.com/asr/a26fa288-f46f-4dce-9d78-152c3f8c1dfc_2.21afe81818dfb4dc4bbc44b2326cb98d.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,https://www.walmart.com/ip/Great-Value-Toasted-O-s-Cereal-21-oz/49303122
552407432,cereal,Chex,"Corn Chex Cereal, Gluten Free, 18 oz",https://i5.walmartimages.com/asr/6ff2409d-1e22-487d-99f9-fe2bd69fddc9_1.4422de25a726bd9f725587bba9c834a7.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,https://www.walmart.com/ip/Corn-Chex-Cereal-Gluten-Free-18-oz/36915387
556629974,cereal,Great Value,"Great Value Corn Squares Cereal, 12 oz",https://i5.walmartimages.com/asr/fb8559e1-dd6f-4441-803e-8f5e8683d855_3.4e03f51babb432ca1c73ba1a2c341fd8.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,https://www.walmart.com/ip/Great-Value-Corn-Squares-Cereal-12-oz/122071897
862926467,cereal,Chex,Corn Chex Gluten Free Cereal,https://i5.walmartimages.com/asr/c30117c3-60de-4f17-b49c-3219528c15e7_1.3394f777feeacee30ed211807dbcd16f.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,https://www.walmart.com/ip/Corn-Chex-Gluten-Free-Cereal/862926467
554713505,cereal,Great Value,"Great Value Multigrain O's Cereal, 18 oz",https://i5.walmartimages.com/asr/407a2c0e-da51-4a34-a08f-5241b43be307_3.eee6f3ba6f675357b64e9dc1a363ffe3.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,https://www.walmart.com/ip/Great-Value-Multigrain-O-s-Cereal-18-oz/49303125
4028673766,cereal,Cheerios,Multi Grain Cheerios Gluten Cereal 18 Oz,https://i.ebayimg.com/images/g/z4IAAOSwPeRePBFw/s-l640.jpg,https://www.ebay.com/p/4028673766
572067285,cereal,Kellogg's,Kelloggs Rice Krispies Breakfast Cereal Toasted Rice Fat-Free 12.0 oz,https://i5.walmartimages.com/asr/c41ffd5f-db2f-4518-8a61-1a4ad5bcbfe8_1.d688da0877638e8cd3dffb61361f8799.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,https://www.walmart.com/ip/Kelloggs-Rice-Krispies-Breakfast-Cereal-Toasted-Rice-Fat-Free-12-0-oz/110730802
30000562376,cereal,Quaker,Quaker Life Multigrain Cereal Original -- 24.8 oz,https://www.vitacost.com/Images/Products/500/Quaker/Quaker-Life-Multigrain-Cereal-Original-030000562376.jpg,https://www.vitacost.com/quaker-life-multigrain-cereal-original
231586,cereal,Cheerios,Cheerios Gluten Free Cereal,https://storage.googleapis.com/sp-public/product-images/global/231586/846240/large.jpg,https://www.kosherkonnectiononline.com/specials?catalogProduct=231586
